VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccinations,FirstSecondSingleVaccinationsCumulative
2020-12-14,3,95,,28,,,3,95,0,28,3,103
2020-12-15,9,104,,28,,,9,104,0,28,9,112
2020-12-16,538,642,,28,,,538,642,0,28,538,650
2020-12-17,1041,1683,,28,,,1041,1683,0,28,1041,1691
2020-12-18,2847,4530,1.0,29,,,2847,4530,1,29,2848,4539
2020-12-19,843,5373,,29,,,843,5373,0,29,843,5382
2020-12-20,275,5648,,29,,,275,5648,0,29,275,5657
2020-12-21,3704,9352,,29,,,3704,9352,0,29,3704,9361
2020-12-22,6170,15522,1.0,30,,,6170,15522,1,30,6171,15532
2020-12-23,5439,20961,3.0,33,,,5439,20961,3,33,5442,20974
2020-12-24,2628,23589,1.0,34,,,2628,23589,1,34,2629,23603
2020-12-25,1029,24618,,34,,,1029,24618,0,34,1029,24632
2020-12-26,1638,26256,1.0,35,,,1638,26256,1,35,1639,26271
2020-12-27,1763,28019,1.0,36,,,1763,28019,1,36,1764,28035
2020-12-28,8573,36592,4.0,40,,,8573,36592,4,40,8577,36612
2020-12-29,10290,46882,2.0,42,,,10290,46882,2,42,10292,46904
2020-12-30,12137,59019,4.0,46,,,12137,59019,4,46,12141,59045
2020-12-31,7285,66304,4.0,50,,,7285,66304,4,50,7289,66334
2021-01-01,1443,67747,8.0,58,,,1443,67747,8,58,1451,67785
2021-01-02,2517,70264,21.0,79,,,2517,70264,21,79,2538,70323
2021-01-03,3148,73412,64.0,143,,,3148,73412,64,143,3212,73535
2021-01-04,12773,86185,239.0,382,,,12773,86185,239,382,13012,86547
2021-01-05,11621,97806,423.0,805,,,11621,97806,423,805,12044,98591
2021-01-06,14285,112091,759.0,1564,,,14285,112091,759,1564,15044,113635
2021-01-07,14546,126637,1579.0,3143,,,14546,126637,1579,3143,16125,129760
2021-01-08,23377,150014,2536.0,5679,,,23377,150014,2536,5679,25913,155673
2021-01-09,4765,154779,863.0,6542,,,4765,154779,863,6542,5628,161301
2021-01-10,2548,157327,325.0,6867,,,2548,157327,325,6867,2873,164174
2021-01-11,13240,170567,3234.0,10101,,,13240,170567,3234,10101,16474,180648
2021-01-12,16614,187181,5283.0,15384,,,16614,187181,5283,15384,21897,202545
2021-01-13,17782,204963,3614.0,18998,,,17782,204963,3614,18998,21396,223941
2021-01-14,17216,222179,1799.0,20797,,,17216,222179,1799,20797,19015,242956
2021-01-15,18812,240991,1766.0,22563,,,18812,240991,1766,22563,20578,263534
2021-01-16,5575,246566,1298.0,23861,,,5575,246566,1298,23861,6873,270407
2021-01-17,2007,248573,1318.0,25179,,,2007,248573,1318,25179,3325,273732
2021-01-18,7095,255668,2860.0,28039,,,7095,255668,2860,28039,9955,283687
2021-01-19,16099,271767,4501.0,32540,,,16099,271767,4501,32540,20600,304287
2021-01-20,20445,292212,4765.0,37305,,,20445,292212,4765,37305,25210,329497
2021-01-21,22766,314978,3147.0,40452,,,22766,314978,3147,40452,25913,355410
2021-01-22,28166,343144,3188.0,43640,,,28166,343144,3188,43640,31354,386764
2021-01-23,9403,352547,1476.0,45116,,,9403,352547,1476,45116,10879,397643
2021-01-24,3227,355774,1551.0,46667,,,3227,355774,1551,46667,4778,402421
2021-01-25,16130,371904,8056.0,54723,,,16130,371904,8056,54723,24186,426607
2021-01-26,17217,389121,8210.0,62933,,,17217,389121,8210,62933,25427,452034
2021-01-27,23897,413018,11857.0,74790,,,23897,413018,11857,74790,35754,487788
